declaring_class,mtd_name,mtd_sig
OrientationListener,onAccuracyChanged,"void onAccuracyChanged (int sensor, int accuracy)"
SensorEventCallback,onAccuracyChanged,"void onAccuracyChanged (Sensor sensor, int accuracy)"
SensorEventListener,onAccuracyChanged,"void onAccuracyChanged (Sensor sensor, int accuracy)"
SensorListener,onAccuracyChanged,"void onAccuracyChanged (int sensor, int accuracy)"
ActionMode.Callback,onActionItemClicked,"boolean onActionItemClicked (ActionMode mode, MenuItem item)"
Activity,onActionModeFinished,void onActionModeFinished (ActionMode mode)
Dialog,onActionModeFinished,void onActionModeFinished (ActionMode mode)
DreamService,onActionModeFinished,void onActionModeFinished (ActionMode mode)
Window.Callback,onActionModeFinished,void onActionModeFinished (ActionMode mode)
Activity,onActionModeStarted,void onActionModeStarted (ActionMode mode)
Dialog,onActionModeStarted,void onActionModeStarted (ActionMode mode)
DreamService,onActionModeStarted,void onActionModeStarted (ActionMode mode)
Window.Callback,onActionModeStarted,void onActionModeStarted (ActionMode mode)
ActionProvider.VisibilityListener,onActionProviderVisibilityChanged,void onActionProviderVisibilityChanged (boolean isVisible)
CollapsibleActionView,onActionViewCollapsed,void onActionViewCollapsed ()
SearchView,onActionViewCollapsed,void onActionViewCollapsed ()
CollapsibleActionView,onActionViewExpanded,void onActionViewExpanded ()
SearchView,onActionViewExpanded,void onActionViewExpanded ()
CameraCaptureSession.StateCallback,onActive,void onActive (CameraCaptureSession session)
Window,onActive,void onActive ()
PackageInstaller.SessionCallback,onActiveChanged,"void onActiveChanged (int sessionId, boolean active)"
MediaSessionManager.OnActiveSessionsChangedListener,onActiveSessionsChanged,void onActiveSessionsChanged (List<MediaController> controllers)
Application.ActivityLifecycleCallbacks,onActivityCreated,"void onActivityCreated (Activity activity, Bundle savedInstanceState)"
DialogFragment,onActivityCreated,void onActivityCreated (Bundle savedInstanceState)
Fragment,onActivityCreated,void onActivityCreated (Bundle savedInstanceState)
PreferenceFragment,onActivityCreated,void onActivityCreated (Bundle savedInstanceState)
DialogPreference,onActivityDestroy,void onActivityDestroy ()
PreferenceManager.OnActivityDestroyListener,onActivityDestroy,void onActivityDestroy ()
Application.ActivityLifecycleCallbacks,onActivityDestroyed,void onActivityDestroyed (Activity activity)
Application.ActivityLifecycleCallbacks,onActivityPaused,void onActivityPaused (Activity activity)
Activity,onActivityReenter,"void onActivityReenter (int resultCode, Intent data)"
Activity,onActivityResult,"void onActivityResult (int requestCode, int resultCode, Intent data)"
Fragment,onActivityResult,"void onActivityResult (int requestCode, int resultCode, Intent data)"
PreferenceActivity,onActivityResult,"void onActivityResult (int requestCode, int resultCode, Intent data)"
PreferenceFragment,onActivityResult,"void onActivityResult (int requestCode, int resultCode, Intent data)"
PreferenceManager.OnActivityResultListener,onActivityResult,"boolean onActivityResult (int requestCode, int resultCode, Intent data)"
RingtonePreference,onActivityResult,"boolean onActivityResult (int requestCode, int resultCode, Intent data)"
Application.ActivityLifecycleCallbacks,onActivityResumed,void onActivityResumed (Activity activity)
Application.ActivityLifecycleCallbacks,onActivitySaveInstanceState,"void onActivitySaveInstanceState (Activity activity, Bundle outState)"
Application.ActivityLifecycleCallbacks,onActivityStarted,void onActivityStarted (Activity activity)
PreferenceManager.OnActivityStopListener,onActivityStop,void onActivityStop ()
Application.ActivityLifecycleCallbacks,onActivityStopped,void onActivityStopped (Activity activity)
EditTextPreference,onAddEditTextToDialogView,"void onAddEditTextToDialogView (View dialogView, EditText editText)"
RemoteConnection.Callback,onAddressChanged,"void onAddressChanged (RemoteConnection connection, Uri address, int presentation)"
VolumeProvider,onAdjustVolume,void onAdjustVolume (int direction)
Phaser,onAdvance,"boolean onAdvance (int phase, int registeredParties)"
AdvertisingSetCallback,onAdvertisingDataSet,"void onAdvertisingDataSet (AdvertisingSet advertisingSet, int status)"
AdvertisingSetCallback,onAdvertisingEnabled,"void onAdvertisingEnabled (AdvertisingSet advertisingSet, boolean enable, int status)"
AdvertisingSetCallback,onAdvertisingParametersUpdated,"void onAdvertisingParametersUpdated (AdvertisingSet advertisingSet, int txPower, int status)"
AdvertisingSetCallback,onAdvertisingSetStarted,"void onAdvertisingSetStarted (AdvertisingSet advertisingSet, int txPower, int status)"
AdvertisingSetCallback,onAdvertisingSetStopped,void onAdvertisingSetStopped (AdvertisingSet advertisingSet)
AlarmManager.OnAlarmListener,onAlarm,void onAlarm ()
CursorWindow,onAllReferencesReleased,void onAllReferencesReleased ()
SQLiteClosable,onAllReferencesReleased,void onAllReferencesReleased ()
SQLiteDatabase,onAllReferencesReleased,void onAllReferencesReleased ()
SQLiteProgram,onAllReferencesReleased,void onAllReferencesReleased ()
SQLiteClosable,onAllReferencesReleasedFromContainer,void onAllReferencesReleasedFromContainer ()
Animator.AnimatorListener,onAnimationCancel,void onAnimationCancel (Animator animation)
AnimatorListenerAdapter,onAnimationCancel,void onAnimationCancel (Animator animation)
Animatable2.AnimationCallback,onAnimationEnd,void onAnimationEnd (Drawable drawable)
Animation.AnimationListener,onAnimationEnd,void onAnimationEnd (Animation animation)
Animator.AnimatorListener,onAnimationEnd,"void onAnimationEnd (Animator animation, boolean isReverse)"
Animator.AnimatorListener,onAnimationEnd,void onAnimationEnd (Animator animation)
AnimatorListenerAdapter,onAnimationEnd,void onAnimationEnd (Animator animation)
View,onAnimationEnd,void onAnimationEnd ()
Animator.AnimatorPauseListener,onAnimationPause,void onAnimationPause (Animator animation)
AnimatorListenerAdapter,onAnimationPause,void onAnimationPause (Animator animation)
Animation.AnimationListener,onAnimationRepeat,void onAnimationRepeat (Animation animation)
Animator.AnimatorListener,onAnimationRepeat,void onAnimationRepeat (Animator animation)
AnimatorListenerAdapter,onAnimationRepeat,void onAnimationRepeat (Animator animation)
Animator.AnimatorPauseListener,onAnimationResume,void onAnimationResume (Animator animation)
AnimatorListenerAdapter,onAnimationResume,void onAnimationResume (Animator animation)
Animatable2.AnimationCallback,onAnimationStart,void onAnimationStart (Drawable drawable)
Animation.AnimationListener,onAnimationStart,void onAnimationStart (Animation animation)
Animator.AnimatorListener,onAnimationStart,"void onAnimationStart (Animator animation, boolean isReverse)"
Animator.AnimatorListener,onAnimationStart,void onAnimationStart (Animator animation)
AnimatorListenerAdapter,onAnimationStart,void onAnimationStart (Animator animation)
View,onAnimationStart,void onAnimationStart ()
ValueAnimator.AnimatorUpdateListener,onAnimationUpdate,void onAnimationUpdate (ValueAnimator animation)
Explode,onAppear,"Animator onAppear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Fade,onAppear,"Animator onAppear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Slide,onAppear,"Animator onAppear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Visibility,onAppear,"Animator onAppear (ViewGroup sceneRoot, TransitionValues startValues, int startVisibility, TransitionValues endValues, int endVisibility)"
Visibility,onAppear,"Animator onAppear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Activity,onApplyThemeResource,"void onApplyThemeResource (Resources.Theme theme, int resid, boolean first)"
ContextThemeWrapper,onApplyThemeResource,"void onApplyThemeResource (Resources.Theme theme, int resId, boolean first)"
View,onApplyWindowInsets,WindowInsets onApplyWindowInsets (WindowInsets insets)
View.OnApplyWindowInsetsListener,onApplyWindowInsets,"WindowInsets onApplyWindowInsets (View v, WindowInsets insets)"
WallpaperService.Engine,onApplyWindowInsets,void onApplyWindowInsets (WindowInsets insets)
InputMethodService,onAppPrivateCommand,"void onAppPrivateCommand (String action, Bundle data)"
TvInputService.RecordingSession,onAppPrivateCommand,"void onAppPrivateCommand (String action, Bundle data)"
TvInputService.Session,onAppPrivateCommand,"void onAppPrivateCommand (String action, Bundle data)"
AppWidgetProvider,onAppWidgetOptionsChanged,"void onAppWidgetOptionsChanged (Context context, AppWidgetManager appWidgetManager, int appWidgetId, Bundle newOptions)"
VoiceInteractionSession,onAssistStructureFailure,void onAssistStructureFailure (Throwable failure)
